antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'CHAMARRA', 'CONJUNTO VESTIDO'})",frozenset({'CONJUNTO'}),0.027,0.727,0.015,0.5555555555555556,0.7641754546843956,1.0,-0.004629000000000001,0.6142500000000001,-0.2407927590511861,0.02029769959404601,-0.6280016280016278,0.2880941464160171
frozenset({'VESTIDO'}),frozenset({'CONJUNTO'}),0.236,0.727,0.13,0.5508474576271187,0.7576993915091041,1.0,-0.04157199999999997,0.6078113207547171,-0.29506288504670225,0.156062424969988,-0.6452474079592719,0.36483225701163363
frozenset({'CONJUNTO CAMISA'}),frozenset({'CONJUNTO'}),0.02,0.727,0.011,0.5499999999999999,0.7565337001375515,1.0,-0.0035399999999999997,0.6066666666666666,-0.24720670391061453,0.014945652173913042,-0.6483516483516485,0.2825653370013755
"frozenset({'PANTALON', 'GUAYABERA'})",frozenset({'CONJUNTO'}),0.017,0.727,0.009,0.5294117647058822,0.7282142568168944,1.0,-0.003359000000000001,0.5801249999999999,-0.2751925282647879,0.012244897959183673,-0.7237664296487828,0.2708957035358847
"frozenset({'CHAMARRA', 'SACO'})",frozenset({'CONJUNTO'}),0.008,0.727,0.004,0.5,0.687757909215956,1.0,-0.001816,0.546,-0.313969571230982,0.005471956224350205,-0.8315018315018313,0.2527510316368638
"frozenset({'GUAYABERA', 'PLAYERA'})",frozenset({'CONJUNTO'}),0.006,0.727,0.003,0.5,0.687757909215956,1.0,-0.0013619999999999995,0.546,-0.31353591160220984,0.004109589041095891,-0.8315018315018313,0.25206327372764786
"frozenset({'PLAYERA', 'GUAYABERA LARGA'})",frozenset({'CONJUNTO'}),0.008,0.727,0.004,0.5,0.687757909215956,1.0,-0.001816,0.546,-0.313969571230982,0.005471956224350205,-0.8315018315018313,0.2527510316368638
"frozenset({'PANTALON', 'SUDADERA'})",frozenset({'CONJUNTO'}),0.006,0.727,0.003,0.5,0.687757909215956,1.0,-0.0013619999999999995,0.546,-0.31353591160220984,0.004109589041095891,-0.8315018315018313,0.25206327372764786
"frozenset({'SUDADERA', 'SHORT'})",frozenset({'CONJUNTO'}),0.008,0.727,0.004,0.5,0.687757909215956,1.0,-0.001816,0.546,-0.313969571230982,0.005471956224350205,-0.8315018315018313,0.2527510316368638
"frozenset({'SACO', 'CONJUNTO'})",frozenset({'CAMISA'}),0.037,0.252,0.018,0.48648648648648646,1.9305019305019304,1.0,0.008676,1.4566315789473683,0.5005192107995846,0.06642066420664207,0.3134846076022546,0.27895752895752896
"frozenset({'PLAYERA', 'SUDADERA'})",frozenset({'CONJUNTO'}),0.017,0.727,0.008,0.47058823529411764,0.6473015616150174,1.0,-0.004359,0.5156666666666667,-0.3566227603697946,0.010869565217391304,-0.9392372333548803,0.24079618092078647
frozenset({'SHORT'}),frozenset({'PLAYERA'}),0.076,0.178,0.034,0.44736842105263164,2.51330573625074,1.0,0.020472000000000004,1.4874285714285718,0.6516424751718869,0.15454545454545457,0.3276988090664618,0.3191898285038439
"frozenset({'CHAMARRA', 'SHORT'})",frozenset({'CONJUNTO'}),0.009,0.727,0.004,0.4444444444444445,0.6113403637475164,1.0,-0.0025429999999999993,0.4914,-0.39080989703396335,0.00546448087431694,-1.0350020350020348,0.22497325385908606
"frozenset({'PLAYERA', 'SHORT'})",frozenset({'CONJUNTO'}),0.034,0.727,0.015,0.4411764705882352,0.6068452140140788,1.0,-0.009718000000000001,0.4885263157894737,-0.40143754130865833,0.020107238605898123,-1.0469726352079294,0.23090460393235696
"frozenset({'GUAYABERA', 'CONJUNTO VESTIDO'})",frozenset({'CONJUNTO'}),0.007,0.727,0.003,0.42857142857142855,0.5895067793279622,1.0,-0.0020889999999999997,0.47775000000000006,-0.4121941594317285,0.004103967168262654,-1.0931449502878074,0.21634898801336214
"frozenset({'GUAYABERA', 'SUDADERA'})",frozenset({'CONJUNTO'}),0.01,0.727,0.004,0.4,0.5502063273727649,1.0,-0.0032699999999999995,0.45500000000000007,-0.45228215767634844,0.005457025920873124,-1.1978021978021975,0.20275103163686384
"frozenset({'SUDADERA', 'VESTIDO'})",frozenset({'CONJUNTO'}),0.02,0.727,0.008,0.4,0.5502063273727649,1.0,-0.006539999999999999,0.45500000000000007,-0.45479833101529893,0.010825439783491205,-1.1978021978021975,0.20550206327372766
